Country / Territory,ISO3,Region,CPI 2025 score,Rank,Standard error 2025,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations In Transit,Global Insights Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index,
Fiji,FJI,AP,55,49,2.0214099999999999,3,51.684890000000003,58.315109999999997,,,,,,58.821210000000001,,,,55.275919999999999,51.157629999999997,,,
Spain,ESP,WE/EU,55,49,2.5395970000000001,8,50.835059999999999,59.164940000000001,,66.826779999999999,,50.60913,,45.51793,45.608199999999997,,50.91377,68.283050000000003,,42.901829999999997,68.787220000000005,
Italy,ITA,WE/EU,53,52,1.7514350000000001,8,50.127650000000003,55.872349999999997,,56.654359999999997,,50.60913,,58.821210000000001,40.626910000000002,,50.91377,61.437190000000001,,45.691800000000001,61.838380000000001,
Poland,POL,WE/EU,53,52,2.0283039999999999,10,49.673580000000001,56.326419999999999,,26.137090000000001,68.62988,50.60913,55.44462,58.821210000000001,46.726439999999997,,41.836329999999997,68.283050000000003,,58.944139999999997,59.232559999999999,
Malaysia,MYS,AP,52,54,1.2875490000000001,9,49.888420000000004,54.111579999999996,,,51.435630000000003,50.60913,,58.821210000000001,49.877859999999998,40.042900000000003,53.273910000000001,53.222160000000002,,63.594079999999998,47.07206,
Oman,OMN,MENA,52,54,5.5381470000000004,7,42.917439999999999,61.082560000000001,,,21.345700000000001,34.494399999999999,,58.821210000000001,72.954409999999996,,41.836329999999997,57.329680000000003,,78.706400000000002,,
Bahrain,BHR,MENA,50,56,6.2193670000000001,7,39.800240000000002,60.199759999999998,,,29.942820000000001,34.494399999999999,,32.214660000000002,78.342330000000004,,50.91377,40.215029999999999,,87.308790000000002,,
Georgia,GEO,ECA,50,56,4.3112490000000001,6,42.929549999999999,57.070450000000001,,,34.241390000000003,,51.722299999999997,32.214660000000002,,,,62.121780000000001,,65.22157,53.15231,
Greece,GRC,WE/EU,50,56,1.649432,8,47.294930000000001,52.705069999999999,,56.654359999999997,,50.60913,,58.821210000000001,41.541840000000001,,41.836329999999997,58.69885,,44.529310000000002,49.677880000000002,
Jordan,JOR,MENA,50,56,3.2421310000000001,8,44.682899999999997,55.317100000000003,,,38.539949999999997,50.60913,,32.214660000000002,71.632850000000005,,41.836329999999997,46.376300000000001,,70.336489999999998,52.283700000000003,
Malta,MLT,WE/EU,49,60,3.2545000000000002,6,43.662619999999997,54.337380000000003,,,,50.60913,,45.51793,,,32.758890000000001,62.121780000000001,,44.296810000000001,57.495339999999999,
Mauritius,MUS,SSA,48,61,1.511846,7,45.520569999999999,50.479430000000001,41.540089999999999,,47.137070000000001,50.60913,,58.821210000000001,,,,44.32255,,45.459299999999999,50.546489999999999,
Slovakia,SVK,WE/EU,48,61,2.8191069999999998,9,43.376669999999997,52.623330000000003,,36.309510000000003,51.435630000000003,50.60913,59.166930000000001,71.925920000000005,24.158180000000002,,32.758890000000001,55.960509999999999,,,47.07206,
Croatia,HRV,WE/EU,47,63,1.833445,9,43.99315,50.00685,,,55.734200000000001,50.60913,51.722299999999997,45.51793,31.172640000000001,,50.91377,57.329680000000003,,31.741959999999999,49.677880000000002,
Vanuatu,VUT,AP,47,63,4.2741600000000002,3,39.990380000000002,54.009619999999998,,,,,,45.51793,,,,55.275919999999999,39.177059999999997,,,
Armenia,ARM,ECA,46,65,2.304935,6,42.219909999999999,49.780090000000001,,,51.435630000000003,,44.277659999999997,45.51793,,,32.758890000000001,49.799230000000001,,53.131709999999998,,
Kuwait,KWT,MENA,46,65,2.0860180000000001,8,42.57893,49.42107,,,47.137070000000001,34.494399999999999,,32.214660000000002,49.674550000000004,,41.836329999999997,53.906750000000002,,58.944139999999997,47.07206,
Montenegro,MNE,ECA,46,65,2.946879,5,41.167119999999997,50.832880000000003,,,60.032760000000003,,44.277659999999997,45.51793,,,,40.899619999999999,,,40.12321,
Namibia,NAM,SSA,46,65,2.0195599999999998,9,42.687919999999998,49.312080000000002,51.995899999999999,,34.241390000000003,50.60913,,58.821210000000001,28.427849999999999,,50.91377,55.960509999999999,,36.624400000000001,47.07206,
Senegal,SEN,SSA,46,65,1.1738170000000001,9,44.074939999999998,47.925060000000002,48.440930000000002,,38.539949999999997,50.60913,,45.51793,,,41.836329999999997,54.591340000000002,51.157629999999997,36.159410000000001,46.203449999999997,
Benin,BEN,SSA,45,70,3.401294,6,39.421880000000002,50.578119999999998,48.440930000000002,,42.838509999999999,,,32.214660000000002,,,,62.121780000000001,51.157629999999997,,35.780169999999998,
Romania,ROU,WE/EU,45,70,1.369645,9,42.753779999999999,47.246220000000001,,,42.838509999999999,34.494399999999999,59.166930000000001,45.51793,37.373829999999998,,41.836329999999997,49.114649999999997,,43.83182,47.07206,
Sao Tome and Principe,STP,SSA,45,70,5.3824709999999998,4,36.172750000000001,53.827249999999999,27.529299999999999,,,,,45.51793,,,,55.960509999999999,51.157629999999997,,,
Jamaica,JAM,AME,44,73,3.612628,6,38.075290000000003,49.924709999999997,,,38.539949999999997,34.494399999999999,,32.214660000000002,,,41.836329999999997,62.806370000000001,,,51.415089999999999,
Solomon Islands,SLB,AP,44,73,6.8905709999999996,3,32.699460000000002,55.300539999999998,,,,,,58.821210000000001,,,,34.053759999999997,39.177059999999997,,,
Timor-Leste,TLS,AP,44,73,5.1293360000000003,4,35.587890000000002,52.412109999999998,,,42.838509999999999,,,32.214660000000002,,,,60.068019999999997,39.177059999999997,,,
China,CHN,AP,43,76,1.302773,8,40.86345,45.13655,,,42.838509999999999,50.60913,,45.51793,48.14967,41.626779999999997,32.758890000000001,37.476680000000002,,,41.860419999999998,
Cote d'Ivoire,CIV,SSA,43,76,2.7771149999999998,9,38.445529999999998,47.554470000000002,55.341760000000001,,25.644259999999999,34.494399999999999,,58.821210000000001,,,50.91377,32.68459,63.138199999999998,41.041849999999997,25.35689,
Ghana,GHA,SSA,43,76,1.5407630000000001,10,40.473149999999997,45.526850000000003,58.896740000000001,,42.838509999999999,50.60913,,45.51793,31.782599999999999,,50.91377,31.31541,51.157629999999997,35.926909999999999,33.174349999999997,
Kosovo,KSV,ECA,43,76,2.2340819999999999,7,39.336109999999998,46.663890000000002,,,42.838509999999999,,33.110709999999997,45.51793,,,,56.645090000000003,51.157629999999997,35.926909999999999,39.254600000000003,
Moldova,MDA,ECA,42,80,1.763393,7,39.108040000000003,44.891959999999997,,,42.838509999999999,34.494399999999999,36.833030000000001,45.51793,,,44.196469999999998,52.537579999999998,,,34.911569999999998,
South Africa,ZAF,SSA,41,81,2.3917310000000001,9,37.077559999999998,44.922440000000002,62.451709999999999,,47.137070000000001,50.60913,,45.51793,21.515049999999999,,41.836329999999997,36.792099999999998,,25.92953,40.12321,
Trinidad and Tobago,TTO,AME,41,81,4.4411839999999998,6,33.716459999999998,48.283540000000002,,,34.241390000000003,34.494399999999999,,32.214660000000002,,,32.758890000000001,68.967640000000003,,,40.991810000000001,
Vietnam,VNM,AP,41,81,1.716734,8,38.184559999999998,43.815440000000002,,,38.539949999999997,34.494399999999999,,45.51793,,32.321460000000002,38.75,41.584200000000003,,56.154170000000001,36.648780000000002,
Bulgaria,BGR,WE/EU,40,84,1.956796,9,36.790860000000002,43.209139999999998,,,51.435630000000003,34.494399999999999,55.44462,32.214660000000002,25.174769999999999,,50.91377,35.422930000000001,,38.949379999999998,37.517389999999999,
Burkina Faso,BFA,SSA,40,84,2.4936850000000002,7,35.910350000000001,44.089649999999999,51.995899999999999,,25.644259999999999,,,45.51793,,,32.758890000000001,48.430059999999997,39.177059999999997,,35.780169999999998,
Cuba,CUB,AME,40,84,2.6172759999999999,5,35.70767,44.29233,,,38.539949999999997,50.60913,,32.214660000000002,,,41.836329999999997,34.738349999999997,,,,
Guyana,GUY,AME,40,84,1.797642,5,37.051859999999998,42.948140000000002,,,,,,32.214660000000002,,,41.836329999999997,45.691719999999997,39.177059999999997,,39.254600000000003,
Hungary,HUN,WE/EU,40,84,0.86763999999999997,10,38.577069999999999,41.422930000000001,,36.309510000000003,29.942820000000001,50.60913,40.555340000000001,45.51793,37.17051,,41.836329999999997,40.899619999999999,,39.18188,40.991810000000001,
North Macedonia,MKD,ECA,40,84,2.4195799999999998,7,36.031889999999997,43.968110000000003,,,51.435630000000003,34.494399999999999,44.277659999999997,45.51793,,,,23.784970000000001,,35.926909999999999,41.860419999999998,
Tanzania,TZA,SSA,40,84,1.843424,9,36.976779999999998,43.023220000000002,48.440930000000002,,34.241390000000003,34.494399999999999,,32.214660000000002,,,32.758890000000001,58.014270000000003,39.177059999999997,50.10924,32.30574,
Albania,ALB,ECA,39,91,2.4110990000000001,7,35.0458,42.9542,,,55.734200000000001,34.494399999999999,44.277659999999997,32.214660000000002,,,41.836329999999997,32,,,31.437139999999999,
India,IND,AP,39,91,1.451228,9,36.619990000000001,41.380009999999999,,,47.137070000000001,34.494399999999999,,45.51793,40.11862,33.50938,50.91377,29.261649999999999,,38.25188,31.437139999999999,
Maldives,MDV,AP,39,91,3.7320950000000002,3,32.879359999999998,45.120640000000002,,,,,,32.214660000000002,,,,46.376300000000001,39.177059999999997,,,
Morocco,MAR,MENA,39,91,1.852868,8,35.961300000000001,42.038699999999999,48.440930000000002,,29.942820000000001,34.494399999999999,,32.214660000000002,,,50.187579999999997,31.31541,,44.994309999999999,36.648780000000002,
Tunisia,TUN,MENA,39,91,1.3169979999999999,8,36.840119999999999,41.159880000000001,41.540089999999999,,34.241390000000003,34.494399999999999,,45.51793,,,32.758890000000001,47.060890000000001,,43.599319999999999,34.911569999999998,
Ethiopia,ETH,SSA,38,96,1.3628359999999999,8,35.764949999999999,40.235050000000001,44.885950000000001,,34.241390000000003,34.494399999999999,,45.51793,,,37.297609999999999,37.476680000000002,39.177059999999997,,27.094100000000001,
Kazakhstan,KAZ,ECA,38,96,3.5338910000000001,9,32.204419999999999,43.795580000000001,,,34.241390000000003,18.379660000000001,18.221440000000001,45.51793,63.195169999999997,,69.068659999999994,26.523309999999999,,27.092020000000002,38.38599,
Suriname,SUR,AME,38,96,5.2817819999999998,5,29.337879999999998,46.662120000000002,,,,,,32.214660000000002,,,32.758890000000001,63.490949999999998,27.196490000000001,,34.911569999999998,
Colombia,COL,AME,37,99,2.2246090000000001,8,33.351640000000003,40.648359999999997,,,47.137070000000001,34.494399999999999,,45.51793,21.921690000000002,,32.758890000000001,48.430059999999997,,26.627020000000002,37.517389999999999,
Dominican Republic,DOM,AME,37,99,2.9318599999999999,7,32.191749999999999,41.808250000000001,,,51.435630000000003,50.60913,,32.214660000000002,,,23.681450000000002,26.523309999999999,,40.111870000000003,34.042960000000001,
Gambia,GMB,SSA,37,99,2.5035470000000002,8,32.894179999999999,41.105820000000001,20.62847,,38.539949999999997,,,45.51793,,,35.845219999999998,56.645090000000003,39.177059999999997,28.25451,31.437139999999999,
Lesotho,LSO,SSA,37,99,4.309577,6,29.932289999999998,44.067709999999998,23.974319999999999,,42.838509999999999,,,58.821210000000001,,,,38.161270000000002,39.177059999999997,20.582090000000001,,
Zambia,ZMB,SSA,37,99,1.359108,9,34.771059999999999,39.228940000000001,34.430129999999998,,34.241390000000003,34.494399999999999,,45.51793,,,32.758890000000001,50.483820000000001,27.196490000000001,38.25188,34.042960000000001,
Argentina,ARG,AME,36,104,2.1750889999999998,8,32.432850000000002,39.567149999999998,,,47.137070000000001,34.494399999999999,,32.214660000000002,23.54823,,32.758890000000001,48.430059999999997,,24.069559999999999,41.860419999999998,
Belize,BLZ,AME,36,104,1.9166479999999999,3,32.856699999999996,39.143300000000004,,,,,,32.214660000000002,,,,,39.177059999999997,,37.517389999999999,
Ukraine,UKR,ECA,36,104,2.399667,8,32.064540000000001,39.935459999999999,,,55.734200000000001,18.379660000000001,36.833030000000001,32.214660000000002,,,32.758890000000001,33.369169999999997,,42.204340000000002,34.042960000000001,
Brazil,BRA,AME,35,107,2.7585500000000001,8,30.47598,39.52402,,,55.734200000000001,34.494399999999999,,32.214660000000002,23.446570000000001,,33.485080000000004,45.007129999999997,,16.629639999999998,38.38599,
Sri Lanka,LKA,AP,35,107,1.2227300000000001,8,32.994720000000001,37.005279999999999,,,34.241390000000003,34.494399999999999,,32.214660000000002,,,32.758890000000001,43.63796,39.177059999999997,25.232040000000001,35.780169999999998,
Algeria,DZA,MENA,34,109,2.3180179999999999,8,30.198450000000001,37.801549999999999,20.62847,,38.539949999999997,34.494399999999999,,32.214660000000002,,,26.04158,29.261649999999999,,54.526690000000002,37.517389999999999,
Bosnia and Herzegovina,BIH,ECA,34,109,2.6016889999999999,7,29.733229999999999,38.266770000000001,,,47.137070000000001,34.494399999999999,40.555340000000001,32.214660000000002,,,,23.100380000000001,,19.419609999999999,38.38599,
Indonesia,IDN,AP,34,109,2.3438409999999998,9,30.156099999999999,37.843899999999998,,,29.942820000000001,34.494399999999999,,32.214660000000002,25.78473,33.905349999999999,32.758890000000001,23.100380000000001,,64.524060000000006,27.094100000000001,
Laos,LAO,AP,34,109,5.1172620000000002,5,25.607690000000002,42.392310000000002,,,25.644259999999999,,,32.214660000000002,,,,24.469550000000002,27.196490000000001,58.014150000000001,,
Malawi,MWI,SSA,34,109,1.5362119999999999,9,31.480609999999999,36.519390000000001,37.985109999999999,,34.241390000000003,18.379660000000001,,45.51793,,,32.758890000000001,25.838719999999999,39.177059999999997,38.716880000000003,34.042960000000001,
Nepal,NPL,AP,34,109,0.92011259999999995,6,32.491019999999999,35.508980000000001,,,34.241390000000003,,,32.214660000000002,,,,32.68459,39.177059999999997,30.57948,33.174349999999997,
Sierra Leone,SLE,SSA,34,109,2.0135459999999998,8,30.697780000000002,37.302219999999998,37.985109999999999,,29.942820000000001,18.379660000000001,,45.51793,,,35.119030000000002,40.899619999999999,39.177059999999997,,26.2255,
Ecuador,ECU,AME,33,116,1.867413,7,29.937439999999999,36.062559999999998,,,42.838509999999999,34.494399999999999,,32.214660000000002,,,37.297609999999999,30.63083,,20.349599999999999,29.699919999999999,
Panama,PAN,AME,33,116,1.521312,7,30.505050000000001,35.494950000000003,,,29.942820000000001,34.494399999999999,,32.214660000000002,,,32.758890000000001,42.95337,,24.302050000000001,35.780169999999998,
Serbia,SRB,ECA,33,116,2.0085449999999998,7,29.70599,36.29401,,,34.241390000000003,34.494399999999999,47.999980000000001,32.214660000000002,,,32.758890000000001,23.784970000000001,,,27.962710000000001,
Thailand,THA,AP,33,116,0.99738870000000002,9,31.364280000000001,34.635719999999999,,,29.942820000000001,34.494399999999999,,32.214660000000002,26.089700000000001,44.794550000000001,32.758890000000001,29.94624,,35.461919999999999,32.30574,
Angola,AGO,SSA,32,120,2.526907,8,27.855869999999999,36.144129999999997,37.985109999999999,,34.241390000000003,18.379660000000001,,45.51793,,,41.836329999999997,37.476680000000002,,14.30467,28.831320000000002,
El Salvador,SLV,AME,32,120,1.4766330000000001,7,29.578320000000001,34.421680000000002,,,29.942820000000001,34.494399999999999,,32.214660000000002,,,41.836329999999997,28.577069999999999,,24.069559999999999,30.568529999999999,
Philippines,PHL,AP,32,120,2.1407340000000001,9,28.489190000000001,35.510800000000003,,,34.241390000000003,34.494399999999999,,32.214660000000002,18.160309999999999,43.507640000000002,37.297609999999999,16.939109999999999,,50.57423,24.488289999999999,
Togo,TGO,SSA,32,120,1.4671829999999999,7,29.593820000000001,34.406179999999999,34.430129999999998,,25.644259999999999,,,32.214660000000002,,,32.758890000000001,23.100380000000001,39.177059999999997,,34.042960000000001,
Belarus,BLR,ECA,31,124,3.491905,7,25.27328,36.72672,,,25.644259999999999,18.379660000000001,18.221440000000001,32.214660000000002,,,23.681450000000002,46.376300000000001,,,50.546489999999999,
Djibouti,DJI,SSA,31,124,1.9514940000000001,5,27.79955,34.200449999999996,27.529299999999999,,25.644259999999999,,,32.214660000000002,,,,28.577069999999999,39.177059999999997,,,
Mongolia,MNG,AP,31,124,1.0201560000000001,8,29.32694,32.67306,,,38.539949999999997,34.494399999999999,,32.214660000000002,25.683070000000001,,33.485080000000004,25.838719999999999,,28.25451,32.30574,
Niger,NER,SSA,31,124,1.945508,7,27.809370000000001,34.190629999999999,44.885950000000001,,25.644259999999999,,,32.214660000000002,,,23.681450000000002,36.107520000000001,27.196490000000001,,29.699919999999999,
Turkey,TUR,ECA,31,124,2.0424150000000001,8,27.65044,34.349559999999997,,,21.345700000000001,34.494399999999999,,45.51793,23.54823,,32.758890000000001,18.99287,,37.089399999999998,33.174349999999997,
Uzbekistan,UZB,ECA,31,124,2.732437,8,26.518799999999999,35.481200000000001,,,29.942820000000001,18.379660000000001,18.221440000000001,32.214660000000002,,,50.91377,18.30828,39.177059999999997,,38.38599,
Azerbaijan,AZE,ECA,30,130,6.5530099999999996,7,19.253060000000001,40.746940000000002,,,25.644259999999999,18.379660000000001,14.49912,32.214660000000002,,,23.681450000000002,13.51618,,83.821340000000006,,
